Sequencing run	Lab code	Sample type	Sample category	Stall ID	NC_012920.1 Homo sapiens	NC_013700.1 Nyctereutes procyonoides	NC_002008.4 Canis lupus	NC_001913.1 Oryctolagus cuniculus	NC_012095.1 Sus scrofa	NC_026063.1 Ovis orientalis	NC_021478.1 Rhizomys pruinosus	KX964606.1 Erinaceus amurensis	NC_006853.1 Bos taurus	NC_011638.1 Rattus tanezumi	NC_001700.1 Felis catus	NC_025316.1 Lepus sinensis	KR866125.1 Capra hircus	NC_004069.1 Muntiacus reevesi	NC_020645.1 Arctonyx collaris	NC_018367.1 Marmota himalayana	KR816507.1 Hystrix brachyura	NC_008066.1 Chlorocebus sabaeus	NC_035866.1 Myocastor coypus	NC_008434.1 Vulpes vulpes	NC_026529.1 Vulpes lagopus	NC_029403.1 Paguma larvata	MN400429.1 Melogale moschata	NC_020637.1 Mustela sibirica	NC_001640.1 Equus caballus	NC_006295.1 Bubalus carabanensis	NC_069637.1 Hystrix indica	NC_005033.1 Hemiechinus auritus	NC_039104.1 Rhizomys sumatrensis	NC_014861.1 Rattus tunneyi	NC_012389.1 Rattus exulans	NC_026124.1 Rhizomys sinensis	NC_036369.1 Otocyon megalotis
SRR23971410	HJ200050-20200112-1	market_metagenome	market_stall_wildlife	West|8|36-38	0	15407	1060	0	473	0	3114	0	0	0	0	513	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971411	HJ200051-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	4432	430	730	860	697	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971412	HJ200052-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	10776	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971413	HJ200053-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	5339	0	0	0	6848	0	541	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971414	HJ200054-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971415	HJ200055-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971416	F54	sars2_amplicon	market_west_Jan1	West|2|14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971417	HJ200056-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971418	HJ200057-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	2119	4218	559	1892	1487	0	0	0	0	14346	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971419	HJ200058-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971420	HJ200059-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	9526	774	0	0	0	0	468	0	0	473	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971421	HJ200060-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	1632	729	879	0	2722	0	650	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971422	HJ200062-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	0	5834	1866	14741	0	0	13867	0	0	0	0	3043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	606	0
SRR23971423	HJ200063-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	1223	2835	6929	4017	0	0	2557	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971424	HJ200065-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	2617	14573	11549	5377	645	2704	15523	4156	0	0	1100	0	1611	0	0	4176	0	0	0	0	0	0	0	0	0	0	0	0	531	0	0	0	0
SRR23971425	HJ200066-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	602	8511	14148	11859	0	0	3649	2148	0	1717	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971426	HJ200067-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	0	0	4701	1941	0	0	3529	795	0	0	0	913	0	3423	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971427	W-8-25-D2	market_metagenome	single_end_duplicate	West|8|25	2021	0	2478	645	0	12718	0	14262	0	2993	0	643	3017	0	1823	0	0	0	0	0	0	0	0	1374	0	0	0	561	0	0	0	0	0
SRR23971428	10-31-In2	market_metagenome	market_west_late	West|10|31	7122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971429	10-31-abv2	market_metagenome	market_west_late	West|10|31	7444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971430	06-29-abv1	market_metagenome	market_629_late	West|6|29	6066	0	4032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971431	1-27-11	market_metagenome	market_west_drain	West|3|13	7558	0	0	0	0	0	0	0	0	0	4666	0	0	0	0	0	0	0	0	0	0	0	0	1488	0	0	0	0	0	0	0	0	0
SRR23971432	1-27-12	market_metagenome	market_west_drain	West|1|2	4550	0	0	0	0	0	0	0	0	0	2250	0	0	0	0	0	0	0	0	0	0	0	0	1071	0	0	0	0	0	0	0	0	0
SRR23971433	1-27-28	market_metagenome	market_west_drain	West|7|34	0	0	782	1490	0	0	0	0	0	0	2605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971434	1-27-52	market_metagenome	market_west_drain	West|15|22	0	0	0	0	0	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971435	1-29-19	east_drain	market_east_drain	East|9|35	10143	0	0	0	14492	0	0	0	7257	0	2117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971436	HXJC4-1-2	not_market	non_market_sewage		3524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971437	C9_2	other_metagenome	market_west_late	West|5|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971438	C12_2	other_metagenome	market_west_late	West|5|NA	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971439	C17_2	market_metagenome	market_west_late	West|6|34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971440	E-10-29-2	market_metagenome	market_west_late	West|10|29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971441	E-A-7-1	other_metagenome	market_east_late	East|Accessory Street|7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971442	CCDC-454	market_metagenome	market_stall_wildlife_late	West|9|34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971443	629-1-L1	market_metagenome	market_629_late	West|6|29	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971444	629-3-C	market_metagenome	market_629_late	West|6|29	0	1762	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0
SRR23971445	629-5-L4	market_metagenome	market_629_late	West|6|29	0	0	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971446	w-6-29-33	market_metagenome	single_end_duplicate	West|6|29-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971447	629-8-L7	market_metagenome	market_629_late	West|6|29	0	0	0	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971448	Q37	market_metagenome	market_825	West|8|25	11237	0	0	0	0	1091	0	6264	0	0	0	7325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971449	Q61	market_metagenome	market_629_Jan12	West|6|29-31-33	795	15895	13349	7372	0	528	10458	6810	0	450	0	834	0	3336	2571	10744	2274	0	0	0	0	9780	0	0	0	0	0	0	0	0	0	0	533
