#File	../fastq/SRR23971504_1.fastq.gz	../fastq/SRR23971504_2.fastq.gz
#Total	125479944
#Matched	209196980	166.71746%
#Name	Reads	ReadsPct
Ad153_5T_1-index_8	101935923	81.23683%
Ad153Ω_Bottom_2	43123189	34.36660%
Barcode_SE_sequencing_primer	46886197	37.36549%
Ad153_5T_1-index_1	13973742	11.13624%
Barcode_PE_sequencing_primer	1404691	1.11945%
Ad153_5T_1-index_11	293133	0.23361%
Ad153_5T_1-index_4	286084	0.22799%
Read_1_sequencing_primer	283514	0.22594%
Ad153_5T_1-index_2	246629	0.19655%
Ad153_Splint_oligo	181150	0.14437%
Ad153_5T_1-index_88	92579	0.07378%
Ad153_5T_1-index_92	83320	0.06640%
Ad153_5T_1-index_10	55392	0.04414%
Ad153_5T_1-index_101	51152	0.04077%
Ad153_5T_1-index_6	35543	0.02833%
Ad153_5T_1-index_97	26623	0.02122%
Ad153_5T_1-index_53	20411	0.01627%
Ad153_5T_1-index_7	18375	0.01464%
Ad153_5T_1-index_3	19706	0.01570%
Ad153_5T_1-index_29	19268	0.01536%
Ad153_5T_1-index_5	16696	0.01331%
Ad153_5T_1-index_33	12237	0.00975%
Ad153_5T_1-index_21	11545	0.00920%
Ad153_5T_1-index_22	9690	0.00772%
Ad153_5T_1-index_32	7995	0.00637%
Ad153_5T_1-index_68	10355	0.00825%
Ad153_5T_1-index_12	5751	0.00458%
Ad153_5T_1-index_42	5651	0.00450%
Ad153_5T_1-index_57	9134	0.00728%
Ad153_5T_1-index_91	4453	0.00355%
Ad153_5T_1-index_63	3983	0.00317%
Ad153_5T_1-index_93	4043	0.00322%
Ad153_5T_1-index_65	3459	0.00276%
Ad153_5T_1-index_117	2726	0.00217%
Ad153_5T_1-index_39	2533	0.00202%
Ad153_5T_1-index_26	2380	0.00190%
Ad153_5T_1-index_30	2280	0.00182%
Ad153_5T_1-index_104	2816	0.00224%
Ad153_5T_1-index_14	2223	0.00177%
Ad153_5T_1-index_107	1893	0.00151%
Ad153_5T_1-index_23	1933	0.00154%
Ad153_5T_1-index_17	1652	0.00132%
Ad153_5T_1-index_64	1596	0.00127%
Ad153_5T_1-index_123	2381	0.00190%
Ad153_5T_1-index_13	1719	0.00137%
Ad153_5T_1-index_76	1493	0.00119%
Ad153_5T_1-index_31	1395	0.00111%
Ad153_5T_1-index_124	1376	0.00110%
Ad153_5T_1-index_38	1269	0.00101%
Ad153_5T_1-index_15	1106	0.00088%
Ad153_5T_1-index_82	1501	0.00120%
Ad153_5T_1-index_40	964	0.00077%
Ad153_5T_1-index_19	1023	0.00082%
Ad153_5T_1-index_119	1242	0.00099%
Ad153_5T_1-index_106	824	0.00066%
Ad153_5T_1-index_43	800	0.00064%
Ad153_5T_1-index_86	682	0.00054%
Ad153_5T_1-index_75	670	0.00053%
Ad153_5T_1-index_28	642	0.00051%
Ad153_5T_1-index_55	617	0.00049%
Ad153_5T_1-index_78	821	0.00065%
Ad153_5T_1-index_27	552	0.00044%
Ad153_5T_1-index_79	536	0.00043%
Ad153_5T_1-index_52	539	0.00043%
Ad153_5T_1-index_127	453	0.00036%
Ad153_5T_1-index_121	422	0.00034%
Ad153_5T_1-index_48	425	0.00034%
TruSeq_Universal_Adapter	577	0.00046%
Ad153_5T_1-index_36	364	0.00029%
Ad153_5T_1-index_49	381	0.00030%
Ad153_5T_1-index_46	358	0.00029%
Ad153_5T_1-index_51	348	0.00028%
Ad153_5T_1-index_102	357	0.00028%
Ad153_5T_1-index_74	340	0.00027%
Ad153_5T_1-index_18	316	0.00025%
Ad153_5T_1-index_87	312	0.00025%
Ad153_5T_1-index_66	274	0.00022%
Ad153_5T_1-index_115	282	0.00022%
Ad153_5T_1-index_47	261	0.00021%
Ad153_5T_1-index_44	256	0.00020%
Ad153_5T_1-index_16	254	0.00020%
Ad153_5T_1-index_45	238	0.00019%
PCR_Primers	299	0.00024%
Ad153_5T_1-index_96	200	0.00016%
Ad153_5T_1-index_77	202	0.00016%
Ad153_5T_1-index_24	188	0.00015%
Ad153_5T_1-index_58	191	0.00015%
Ad153_5T_1-index_37	171	0.00014%
Ad153_5T_1-index_73	179	0.00014%
Ad153_5T_1-index_84	177	0.00014%
Ad153_5T_1-index_61	162	0.00013%
Ad153_5T_1-index_71	153	0.00012%
Ad153_5T_1-index_59	149	0.00012%
Ad153_5T_1-index_125	127	0.00010%
Ad153_5T_1-index_116	128	0.00010%
Ad153_5T_1-index_90	150	0.00012%
Ad153_5T_1-index_35	127	0.00010%
Ad153_5T_1-index_98	173	0.00014%
Ad153_5T_1-index_108	115	0.00009%
Ad153_5T_1-index_83	104	0.00008%
Ad153_5T_1-index_69	101	0.00008%
Ad153_5T_1-index_94	96	0.00008%
Ad153_5T_1-index_50	87	0.00007%
Ad153_5T_1-index_128	89	0.00007%
Ad153_5T_1-index_41	78	0.00006%
Reverse_adapter	152	0.00012%
Ad153_5T_1-index_110	72	0.00006%
Ad153_5T_1-index_62	74	0.00006%
Ad153_5T_1-index_118	72	0.00006%
Ad153_5T_1-index_67	64	0.00005%
Ad153_5T_1-index_34	60	0.00005%
Ad153_5T_1-index_113	57	0.00005%
Ad153_5T_1-index_114	56	0.00004%
Ad153_5T_1-index_100	57	0.00005%
Ad153_5T_1-index_20	53	0.00004%
Ad153_5T_1-index_72	51	0.00004%
Ad153_5T_1-index_60	53	0.00004%
Ad153_5T_1-index_54	50	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	40	0.00003%
Ad153_5T_1-index_56	39	0.00003%
Ad153_5T_1-index_112	38	0.00003%
Ad153_5T_1-index_105	31	0.00002%
pcr_dimer	37	0.00003%
Ad153_5T_1-index_9	29	0.00002%
Ad153_5T_1-index_99	34	0.00003%
Ad153_5T_1-index_95	30	0.00002%
Ad153_5T_1-index_126	20	0.00002%
Ad153_5T_1-index_111	20	0.00002%
Ad153_5T_1-index_122	19	0.00002%
Ad153_5T_1-index_70	19	0.00002%
Ad153_5T_1-index_80	19	0.00002%
Ad153_5T_1-index_103	19	0.00002%
Ad153_5T_1-index_109	19	0.00002%
Ad153_5T_1-index_25	17	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	16	0.00001%
Ad153_5T_1-index_120	16	0.00001%
I7_Nextera_Transposase_1	14	0.00001%
Ad153_5T_1-index_81	12	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	12	0.00001%
Ad153_5T_1-index_85	11	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	9	0.00001%
I5_Nextera_Transposase_1	15	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	8	0.00001%
I7_Nextera_Transposase_2	7	0.00001%
Ad153_5T_1-index_89	5	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	5	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	6	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	4	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	3	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	3	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	4	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	2	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N724	2	0.00000%
