Lab code	Sequencing run	SARS2 paired read count	SARS2 covered bases	Sample type	Sample category	Library name	Stall ID
HJ200017-20200112-1	SRR23971536	0	0	market_metagenome	market_stall_wildlife	Env_0532	West|9|38
w-zong-1	SRR23971499	0	0	sewage_metagenome	market_west_drain	Env_0829	West|1|NA
HJ200038-20200112-1	SRR23971476	0	0	market_metagenome	market_825	Env_0553	West|8|25
W-8-25-L2	SRR23971545	0	0	market_metagenome	single_end_duplicate	Env_0809	West|8|25
HJ200024-20200112-1	SRR23971589	0	0	market_metagenome	market_stall_wildlife	Env_0539	West|9|35-37
HJ200051-20200112-1	SRR23971411	0	0	market_metagenome	market_stall_wildlife	Env_0566	West|8|37
HJ200054-20200112-1	SRR23971414	0	0	market_metagenome	market_stall_wildlife	Env_0569	West|8|37
HXJMHL-1-2	SRR23971560	0	0	not_market	non_market_sewage	Env_0768	
SJ-L3	SRR23971516	0	0	other_metagenome	warehouse	Env_0865	Warehouse|8|25
HJ200029-20200112-1	SRR23971467	0	0	market_metagenome	market_stall_wildlife	Env_0544	West|9|35-37
7-26-PSW	SRR23971546	0	0	market_metagenome	market_west_late	Env_0707	West|7|26
HJ200010-20200112-1	SRR23971528	0	0	market_metagenome	market_stall_wildlife	Env_0525	West|9|34-36
HJ200058-20200112-1	SRR23971419	0	0	market_metagenome	market_stall_wildlife	Env_0573	West|8|37
HJ200030-20200112-1	SRR23971468	0	0	market_metagenome	market_stall_wildlife	Env_0545	West|9|35-37
HJ200063-20200112-1	SRR23971423	0	0	market_metagenome	market_629_Jan12	Env_0578	West|6|29-31-33
1-27-33	SRR23971584	0	0	market_metagenome	market_west_drain	Env_0660	West|6|29-33
YCHC2-1-2	SRR23971564	0	0	not_market	non_market_sewage	Env_0798	
W-8-25-D1	SRR23971461	0	0	market_metagenome	market_825_late	Env_0806	West|8|25
CCDC-760	SRR23971522	0	0	market_metagenome	market_825_late	Env_0909	West|8|25
HJ200049-20200112-1	SRR23971488	0	0	market_metagenome	market_stall_wildlife	Env_0564	West|8|36-38
W-8-25-L	SRR23971490	0	0	market_metagenome	market_825_late	Env_0808	West|8|25
8-25-D_2	SRR23971550	0	0	market_metagenome	market_825_late	Env_0715	West|8|25
8-25-M1	SRR23971456	0	0	market_metagenome	market_825_late	Env_0719	West|8|25
7-26-PSN	SRR23971547	0	0	market_metagenome	market_west_late	Env_0708	West|7|26
W-8-25-D2	SRR23971427	0	0	market_metagenome	single_end_duplicate	Env_0807	West|8|25
HJ200023-20200112-1	SRR23971542	0	0	market_metagenome	market_stall_wildlife	Env_0538	West|9|35-37
1-27-52	SRR23971434	0	0	market_metagenome	market_west_drain	Env_0674	West|15|22
WS-2-1	SRR23971458	0	0	sewage_metagenome	market_sewage_west	Env_0746	West|NA|NA
8-25-CK	SRR23971551	0	0	market_metagenome	market_825_late	Env_0716	West|8|25
629-L-1	SRR23971500	0	0	market_metagenome	market_629_late	Env_0889	West|6|29
629-8-L7	SRR23971447	0	0	market_metagenome	market_629_late	Env_0882	West|6|29
HJ200067-20200112-1	SRR23971426	0	0	market_metagenome	market_629_Jan12	Env_0582	West|6|29-31-33
CCDC-758	SRR23971588	0	0	market_metagenome	market_825_late	Env_0907	West|8|25
E-10-29-2	SRR23971440	0	0	market_metagenome	market_west_late	Env_0856	West|10|29
HJ200007-20200112-1	SRR23971525	0	0	market_metagenome	market_stall_wildlife	Env_0522	West|9|34-36
HJ200055-20200112-1	SRR23971415	0	0	market_metagenome	market_stall_wildlife	Env_0570	West|8|37
w-6-29-33	SRR23971498	0	0	market_metagenome	market_west_drain	Env_0828	West|6|29-33
WS-4-1	SRR23971554	0	0	sewage_metagenome	market_sewage_east	Env_0751	East|NA|NA
HJ200062-20200112-1	SRR23971422	0	0	market_metagenome	market_629_Jan12	Env_0577	West|6|29-31-33
1-29-19	SRR23971435	0	0	east_drain	market_east_drain	Env_0697	East|9|35
HXJC4-1-3	SRR23971513	0	0	not_market	non_market_sewage	Env_0802	
HJ200015-20200112-1	SRR23971534	0	0	market_metagenome	market_stall_wildlife	Env_0530	West|9|38
HJ200065-20200112-1	SRR23971424	0	0	market_metagenome	market_629_Jan12	Env_0580	West|6|29-31-33
HJ200039-20200112-1	SRR23971477	0	0	market_metagenome	market_825	Env_0554	West|8|25
1-29-4	SRR23971586	0	0	market_metagenome	market_east_drain	Env_0682	East|4|5-7-9
C12_2	SRR23971438	0	0	other_metagenome	market_west_late	Env_0842	West|5|NA
1-27-12	SRR23971432	0	0	market_metagenome	market_west_drain	Env_0643	West|1|2
EWS-3#-2	SRR23971556	0	0	sewage_metagenome	single_end_duplicate	Env_0815	East|NA|NA
HJ200053-20200112-1	SRR23971413	0	0	market_metagenome	market_stall_wildlife	Env_0568	West|8|37
HJ200028-20200112-1	SRR23971466	0	0	market_metagenome	market_stall_wildlife	Env_0543	West|9|35-37
HXJC4-1-1	SRR23971566	0	0	not_market	non_market_sewage	Env_0800	
W-8-25-D2	SRR23971462	0	0	market_metagenome	market_825_late	Env_0807	West|8|25
10-31-abv2	SRR23971429	0	0	market_metagenome	market_west_late	Env_0619	West|10|31
7-26-DH	SRR23971548	0	0	market_metagenome	market_west_late	Env_0712	West|7|26
8-25-Long	SRR23971558	0	0	market_metagenome	market_825_late	Env_0756	West|8|25
WWS-1#-2	SRR23971495	0	0	sewage_metagenome	market_sewage_west	Env_0817	West|NA|NA
HJ200001-20200112-1	SRR23971518	0	0	market_metagenome	market_stall_wildlife	Env_0516	West|9|34-36
HJ200041-20200112-1	SRR23971479	0	0	market_metagenome	market_stall_wildlife	Env_0556	West|8|36-38
HJ200045-20200112-1	SRR23971483	0	0	market_metagenome	market_stall_wildlife	Env_0560	West|8|36-38
10-31-In2	SRR23971428	0	0	market_metagenome	market_west_late	Env_0617	West|10|31
CCDC-746	SRR23971577	0	0	market_metagenome	market_629_late	Env_0895	West|6|29
WWS-1#	SRR23971494	0	0	sewage_metagenome	market_sewage_west	Env_0816	West|NA|NA
HJ200032-20200112-1	SRR23971470	0	0	market_metagenome	market_825	Env_0547	West|8|25
HJ200036-20200112-1	SRR23971475	0	0	market_metagenome	market_825	Env_0551	West|8|25
HJ200066-20200112-1	SRR23971425	0	0	market_metagenome	market_629_Jan12	Env_0581	West|6|29-31-33
1-27-28	SRR23971433	0	0	market_metagenome	market_west_drain	Env_0657	West|7|34
CCDC-454	SRR23971442	0	0	market_metagenome	market_stall_wildlife_late	Env_0873	West|9|34
8-25-D2	SRR23971557	0	0	market_metagenome	market_825_late	Env_0754	West|8|25
HJ200002-20200112-1	SRR23971519	0	0	market_metagenome	market_stall_wildlife	Env_0517	West|9|34-36
HJ200008-20200112-1	SRR23971526	0	0	market_metagenome	market_stall_wildlife	Env_0523	West|9|34-36
HJ200052-20200112-1	SRR23971412	0	0	market_metagenome	market_stall_wildlife	Env_0567	West|8|37
HJ200044-20200112-1	SRR23971482	0	0	market_metagenome	market_stall_wildlife	Env_0559	West|8|36-38
WS-1-1	SRR23971457	0	0	sewage_metagenome	market_sewage_west	Env_0742	West|NA|NA
8-25-D1	SRR23971555	0	0	market_metagenome	market_825_late	Env_0753	West|8|25
JXRJ-1-1	SRR23971561	0	0	not_market	non_market_sewage	Env_0770	
7-26-BX	SRR23971544	0	0	market_metagenome	market_west_late	Env_0705	West|7|26
Outside-5	SRR23971559	0	0	other_metagenome	market_west_drain	Env_0759	West|5|NA
HJ200034-20200112-1	SRR23971472	0	0	market_metagenome	market_825	Env_0549	West|8|25
HJ200025-20200112-1	SRR23971463	0	0	market_metagenome	market_stall_wildlife	Env_0540	West|9|35-37
HJ200046-20200112-1	SRR23971485	0	0	market_metagenome	market_stall_wildlife	Env_0561	West|8|36-38
HJ200047-20200112-1	SRR23971486	0	0	market_metagenome	market_stall_wildlife	Env_0562	West|8|36-38
629-3-C	SRR23971444	0	0	market_metagenome	market_629_late	Env_0877	West|6|29
YCHC2-1-3	SRR23971565	0	0	not_market	non_market_sewage	Env_0799	
WWS-2#-3	SRR23971497	0	0	sewage_metagenome	market_sewage_west	Env_0821	West|NA|NA
HJ200004-20200112-1	SRR23971521	0	0	market_metagenome	market_stall_wildlife	Env_0519	West|9|34-36
1-27-11	SRR23971431	0	0	market_metagenome	market_west_drain	Env_0642	West|3|13
HJ200011-20200112-1	SRR23971529	0	0	market_metagenome	market_stall_wildlife	Env_0526	West|9|38
CCDC-744	SRR23971511	0	0	market_metagenome	market_629_late	Env_0893	West|6|29
W-8-25-L2	SRR23971491	0	0	market_metagenome	market_825_late	Env_0809	West|8|25
8-25-M2	SRR23971552	0	0	market_metagenome	market_825_late	Env_0720	West|8|25
HJ200042-20200112-1	SRR23971480	0	0	market_metagenome	market_stall_wildlife	Env_0557	West|8|36-38
HJ200016-20200112-1	SRR23971535	0	0	market_metagenome	market_stall_wildlife	Env_0531	West|9|38
HJ200060-20200112-1	SRR23971421	0	0	market_metagenome	market_stall_wildlife	Env_0575	West|8|37
HJ200043-20200112-1	SRR23971481	0	0	market_metagenome	market_stall_wildlife	Env_0558	West|8|36-38
C9_2	SRR23971437	0	0	other_metagenome	market_west_late	Env_0839	West|5|NA
HJ200031-20200112-1	SRR23971469	0	0	market_metagenome	market_825	Env_0546	West|8|25
1-29-8	SRR23971455	0	0	market_metagenome	market_east_drain	Env_0686	East|5|11
WWS-1#-2	SRR23971568	0	0	sewage_metagenome	single_end_duplicate	Env_0817	West|NA|NA
629-1-L1	SRR23971443	0	0	market_metagenome	market_629_late	Env_0875	West|6|29
HJ200018-20200112-1	SRR23971537	0	0	market_metagenome	market_stall_wildlife	Env_0533	West|9|38
WS-4-2	SRR23971590	0	0	sewage_metagenome	market_sewage_east	Env_0752	East|NA|NA
HJ200009-20200112-1	SRR23971527	0	0	market_metagenome	market_stall_wildlife	Env_0524	West|9|34-36
HJ200022-20200112-1	SRR23971541	0	0	market_metagenome	market_stall_wildlife	Env_0537	West|9|35-37
wws-1#-0	SRR23971501	0	0	sewage_metagenome	market_sewage_west	Env_0830	West|1|NA
HJ200012-20200112-1	SRR23971530	0	0	market_metagenome	market_stall_wildlife	Env_0527	West|9|38
wws-1#-0	SRR23971592	0	0	sewage_metagenome	single_end_duplicate	Env_0830	West|1|NA
HJ200035-20200112-1	SRR23971474	0	0	market_metagenome	market_825	Env_0550	West|8|25
HJ200057-20200112-1	SRR23971418	0	0	market_metagenome	market_stall_wildlife	Env_0572	West|8|37
629-11-L	SRR23971452	0	0	market_metagenome	market_629_late	Env_0885	West|6|29
HJ200040-20200112-1	SRR23971478	0	0	market_metagenome	market_825	Env_0555	West|8|25
HJ200033-20200112-1	SRR23971471	0	0	market_metagenome	market_825	Env_0548	West|8|25
HJ200005-20200112-1	SRR23971523	0	0	market_metagenome	market_stall_wildlife	Env_0520	West|9|34-36
WWS-1#-3	SRR23971496	0	0	sewage_metagenome	market_sewage_west	Env_0818	West|NA|NA
1-27-37	SRR23971585	0	0	market_metagenome	market_west_drain	Env_0664	West|10|4
HJ200059-20200112-1	SRR23971420	0	0	market_metagenome	market_stall_wildlife	Env_0574	West|8|37
HJ200027-20200112-1	SRR23971465	0	0	market_metagenome	market_stall_wildlife	Env_0542	West|9|35-37
w-6-29-33	SRR23971446	0	0	market_metagenome	single_end_duplicate	Env_0828	West|6|29-33
HJ200014-20200112-1	SRR23971532	0	0	market_metagenome	market_stall_wildlife	Env_0529	West|9|38
629-5-L4	SRR23971445	0	0	market_metagenome	market_629_late	Env_0879	West|6|29
HJ200003-20200112-1	SRR23971520	0	0	market_metagenome	market_stall_wildlife	Env_0518	West|9|34-36
HJ200026-20200112-1	SRR23971464	0	0	market_metagenome	market_stall_wildlife	Env_0541	West|9|35-37
E-A-7-1	SRR23971441	0	0	other_metagenome	market_east_late	Env_0858	East|Accessory Street|7
WS-3-1	SRR23971553	0	0	sewage_metagenome	market_sewage_east	Env_0749	East|NA|NA
629-13-L	SRR23971489	0	0	market_metagenome	market_629_late	Env_0887	West|6|29
HJ200019-20200112-1	SRR23971538	0	0	market_metagenome	market_stall_wildlife	Env_0534	West|9|38
HJ200020-20200112-1	SRR23971539	0	0	market_metagenome	market_stall_wildlife	Env_0535	West|9|38
HJ200050-20200112-1	SRR23971410	0	0	market_metagenome	market_stall_wildlife	Env_0565	West|8|36-38
EWS-3#-2	SRR23971493	0	0	sewage_metagenome	market_sewage_east	Env_0815	East|NA|NA
