NC_033991.1	16110
NC_056793.1	38897
NC_062160.1	14690
NC_039153.1	15926
NC_031576.1	16561
OP035304.1	16487
AP013346.1	16454
NC_042736.1	15450
NC_012387.1	16299
NC_034052.1	14950
NC_023226.1	16454
NC_044866.1	17700
NC_039655.1	101521
NC_062123.1	15938
NC_032030.1	21871
NC_014869.1	15800
NC_031848.1	48652
NC_010431.1	14862
NC_022164.1	33201
NC_062603.1	16749
NC_031181.1	16559
NC_061925.1	18024
NC_026305.1	15056
NC_034065.1	14950
NC_045365.1	16713
NC_060412.1	17455
NC_059756.1	15339
NC_070015.1	16798
NC_038185.1	15358
NC_048969.1	16792
OL677856.1	17842
NC_022939.1	15806
NC_053853.1	15915
CM019797.1	16525
NC_054237.1	13751
NC_062583.1	15619
NC_071939.1	16765
NC_063818.1	17202
NC_063526.1	19285
NC_031160.1	26052
NC_026195.1	17123
AP019352.1	16517
NC_009056.1	16923
NC_064333.1	803609
NC_020788.1	16343
NC_030594.1	14334
NC_022936.1	15801
NC_042492.1	37769
NW_024066106.1	69606
MN832874.1	16958
NC_065454.1	14714
NC_031669.1	16525
AP011404.1	15674
NC_024194.1	17171
NC_015811.1	16477
NC_060387.1	15099
NC_052722.1	16600
NC_017882.1	16755
NC_006325.1	19631
NC_049893.1	15981
NC_025511.1	13843
NC_066236.1	17575
MW575910.1	18107
NC_053635.1	14963
NC_012434.1	14246
NC_042172.1	26389
NC_072557.1	16307
NC_035611.1	16739
NC_010301.1	16590
NC_023838.1	16717
OP057082.1	17023
NC_059938.1	19472
NC_029151.1	17968
NC_067858.1	14709
NC_012572.1	15825
NC_031166.1	25906
NC_062181.1	15378
NC_063908.1	16746
NC_024563.1	17121
NC_001872.1	22897
NC_062065.1	14739
MW849291.1	16627
NC_034090.1	14902
NC_029386.1	15251
NC_020032.1	17315
NC_044426.1	16575
NC_067716.1	15259
NC_068140.1	14386
NC_021401.1	17694
OP056852.1	16509
NC_028158.1	16007
OQ134764.1	16028
NC_053558.1	15795
NC_030070.1	16355
NC_011518.2	18622
NC_067501.1	16573
NC_017889.1	16828
NC_060539.1	15051
NC_013712.1	16703
NC_061973.1	18759
NC_015092.1	16961
NC_020648.1	16538
NC_024639.1	13765
AP005978.1	16206
MT818506.1	16542
NC_057992.1	18348
HM143925.1	16620
KU892766.1	16690
NC_057117.1	16883
CM055129.1	17065
NC_015825.1	17499
NC_026190.1	19097
NC_022821.1	16804
NC_020687.1	16434
NC_042219.1	102752
NC_061539.1	15729
NC_002811.1	16927
NC_026556.1	18291
NC_027961.1	15264
NC_041123.1	15312
CM047445.1	16841
NC_032044.1	17032
NC_028054.1	20312
NC_067084.1	19253
KX094979.1	16331
MN122938.1	22472
NC_023518.1	16038
NC_057073.1	16595
NC_052897.1	16069
NC_012144.1	15975
KC790398.1	16783
MW323029.1	16780
NC_028068.1	14639
MH286915.1	16204
NC_030317.1	13852
NC_015836.1	16555
NC_033867.1	13519
NC_046711.1	13876
NC_022151.1	53262
OP035192.1	17771
OP476251.1	17758
NC_028597.1	16844
NC_065490.1	16481
NC_062816.1	15759
NC_029382.1	16775
NC_039112.1	17910
MN122934.1	16731
NC_058964.1	15688
NC_004397.1	16843
CM050047.1	16714
NC_014274.1	15553
NC_039658.1	14616
NC_045094.1	16521
NC_023981.1	17361
NC_054244.1	16921
OP035133.1	16436
NC_061654.1	16306
NC_037527.1	16920
NC_022486.1	16720
NC_022853.1	15282
NC_002780.1	17289
NC_003290.1	17329
NC_063599.1	16101
AP012242.1	17035
MH464791.1	16371
NC_039716.1	15346
NC_054275.1	17059
NC_029139.1	16871
NC_063858.1	16409
NC_068688.1	17212
NC_029946.1	16495
NC_033992.1	16056
NC_027649.1	17693
NC_007701.1	15500
NC_024948.1	16497
NC_022193.1	16703
AB606970.1	17594
HG993925.1	15165
NC_031623.1	17010
NC_050030.1	16521
NC_005972.1	23114
NC_050887.1	16993
NC_003165.1	15598
NC_000884.1	16801
NC_049121.1	16262
NC_069051.1	16179
NC_016185.1	14007
NC_057221.1	16840
NC_029731.1	36702
NC_066989.1	17824
AP012971.1	15814
NC_056186.1	14241
NC_066939.1	16653
NC_063585.1	15688
NC_027290.1	15687
NC_067622.1	15454
NC_036011.1	15954
OP476249.1	14729
OP056922.1	16886
NC_066226.1	15252
NC_029155.1	15220
NC_019641.1	17638
NC_053088.1	16933
NC_068217.1	1678054
NC_003048.1	29593
NC_016717.1	16689
NC_024271.1	15878
NC_062088.1	15299
NC_058312.1	14681
NC_015307.1	16571
NC_029867.1	15156
NC_064198.1	16716
NC_046595.1	15383
NC_029173.1	15269
OP035076.1	16505
NC_025497.1	15637
NC_028603.1	16169
NC_054245.1	16539
NC_060839.1	15974
NC_024653.1	15002
NC_026107.1	13424
OP035191.1	16968
NC_031600.1	16567
NC_034906.1	16030
MW856875.1	16624
NC_006838.1	58745
NC_064503.1	16386
MN115763.1	13620
OP476261.1	18972
NC_058607.1	15164
NC_031641.1	16570
NC_035057.1	16689
NC_031511.1	71124
KR150873.1	16581
NC_021443.1	16719
NC_021466.1	15074
AP011278.1	15645
NC_010271.1	16514
NC_028284.1	16503
OP035061.1	16717
MW575909.1	16251
KX925978.1	18554
NC_046588.1	16396
NC_028551.1	16459
NC_027661.1	16508
NC_025295.1	15502
NC_021403.1	16833
NC_021374.1	16537
NC_023778.1	14328
NC_026131.1	17129
NC_004700.1	16850
NC_037798.1	15417
NC_063127.1	16276
NC_035803.1	18591
NC_056279.1	15581
NC_034844.1	16168
NC_005936.1	15634
NC_046578.1	16029
NC_057436.1	15730
NC_013140.1	16501
MF198293.1	15036
NC_002074.1	14710
NC_062822.1	14924
NC_053383.1	14999
NC_015750.1	16899
OP056985.1	17062
NC_006925.1	16784
NC_065804.1	15836
NC_039546.1	16833
NC_024655.1	34696
NC_031552.1	16523
NC_058303.1	15479
NC_022447.1	16599
OX621305.1	17039
NC_030364.1	16569
NC_035490.1	14088
NC_033360.1	14370
NC_029141.1	16912
NC_039780.1	13665
NC_031525.1	16572
NC_025634.1	14617
NC_051937.1	15673
NC_026910.1	15235
NC_063787.1	16186
NC_057634.1	17085
NC_002647.1	16418
NC_042699.1	77109
NC_033551.1	16617
NC_038149.1	15284
NC_019999.1	19205
NC_042185.1	84088
NC_035420.1	15932
NC_026704.1	16887
NC_026068.1	17873
NC_060671.1	15774
NC_038190.1	15048
NC_048516.1	14827
OM330000.1	16355
OP056911.1	16787
NC_060564.1	17319
NC_006282.1	16988
NC_011606.1	17199
NC_065298.1	16207
NC_068600.1	15344
NC_029445.1	16597
NC_058970.1	15853
NC_058961.1	16569
LC653489.1	16501
NC_046508.1	15812
NC_015617.1	19534
KJ434961.1	17116
NC_029200.1	17968
NC_044460.1	17227
NC_009833.1	14579
NC_051869.1	18594
NC_012823.1	15625
NC_013067.1	13585
OP493525.1	17104
NC_010532.1	16197
NC_053801.1	16272
NC_020660.1	16830
NC_065849.1	15985
NC_022675.1	14360
OP057123.1	16105
NC_008776.1	16846
NC_009852.1	16521
MW323049.1	16834
NC_030541.1	16362
NC_039440.1	200401
NC_061033.1	15890
NC_023945.1	15032
NC_026516.1	14742
NC_062437.1	17355
NC_022423.1	16659
NC_068274.1	15052
OP056889.1	16606
NC_034150.1	13646
NC_029320.1	16464
NC_005935.1	15102
NC_063499.1	16533
NC_037737.1	15312
ON165347.1	16344
NC_030333.1	19312
NC_067943.1	816410
OP057014.1	16484
NC_020352.2	17668
NC_022870.1	19113
KM893427.1	16359
NC_038084.1	15250
NC_062116.1	15561
NC_035142.1	13660
NC_072633.1	17302
MN841367.1	16450
NC_050339.1	121495
NC_012424.1	14592
NC_003177.1	16306
MT295851.1	16190
NC_034049.1	14950
KU697359.1	16457
MZ677462.1	16502
NC_013629.1	17768
KY117573.1	16323
NC_065637.1	14914
NC_057653.1	15407
NC_034085.1	14950
NC_008411.1	18398
NC_012920.1	16569
NC_004251.1	15717
NC_035251.1	13633
NC_053533.1	14979
NC_050282.1	15703
NC_003185.1	16555
NC_048471.1	15216
KY994588.1	16844
NC_056799.1	15147
NC_062630.1	14985
NC_013633.1	16627
NC_065650.1	14912
KT192057.1	16584
NC_007933.1	15558
NC_015789.1	43742
NC_014764.2	15873
NC_049123.1	16763
NC_064206.1	16553
NC_015355.1	16467
OP035315.1	17948
NC_016124.1	35173
MN857453.1	16559
NC_033550.1	16549
NC_054267.1	15344
NC_024873.1	15568
NC_027060.1	69997
NC_044452.1	16502
NC_022483.1	18903
NC_020143.1	15961
NC_009967.1	15766
NC_067850.1	14897
NC_031545.1	16582
NC_050392.1	15053
NC_041154.1	17559
NC_050840.1	33514
NC_028522.1	16133
NC_039810.1	15728
NC_045922.1	42644
NC_066159.1	16035
NC_031895.1	16496
NC_065822.1	15041
OP056909.1	16846
NC_030223.1	37189
NC_030164.1	62483
NC_014292.1	18024
NC_009586.1	16655
MK747249.1	16585
NC_070063.1	16804
MW574372.1	16707
MT381928.1	16278
NC_002177.1	14771
NC_068059.1	14263
AP004411.1	16030
NC_046523.1	15331
NC_045215.1	17489
NC_066170.1	15113
NC_036049.1	16520
MZ930094.1	12985
NC_056290.1	19430
MT381932.1	16339
NC_060428.1	18510
NC_009335.1	16401
NC_024846.1	16621
NC_006519.1	16022
NC_037876.1	14209
NC_038167.1	16034
NC_012462.1	17191
NC_027722.1	84583
NC_035314.1	15602
NC_037467.1	14268
NC_034136.1	14949
OP056850.1	16928
NC_056807.1	16506
MW854239.1	16881
NC_020775.1	15652
NC_051530.1	15424
MW849278.1	16642
NC_028576.1	17161
MW856879.1	16468
NC_019810.1	13310
NC_036064.1	16540
MG271911.1	16823
NC_059868.1	17419
NC_053920.1	440720
NC_018367.1	16443
NC_030522.1	190834
NC_013764.1	16854
